domain,fail_count,stages,error_types,last_institution,sample_url,sample_message
blog.naver.com,260,homepage,HTTPError,화랑 합기도 특공무술,https://blog.naver.com/nnnyk,HTTP Error 404: Not Found
smartstore.naver.com,79,homepage,HTTPError,엔터소파 본사 전시장,https://smartstore.naver.com/entersofa,HTTP Error 429: Too Many Requests
cafe.naver.com,28,sitemap,HTTPError,라떼합주실소공연장,http://cafe.naver.com/sitemap.xml,HTTP Error 404: Not Found
www.youtube.com,24,homepage,HTTPError,예음아트센터,https://www.youtube.com/@user-qx2hd1gr6t,HTTP Error 404: Not Found
www.hlsi.co.kr,15,homepage,RuntimeError,한생연생명과학박물관,http://www.hlsi.co.kr/sub/sub05_0101.php,HTTP request failed after retries: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1081)>
sema.seoul.go.kr,12,page,HTTPError,서울시립 서서울미술관,https://sema.seoul.go.kr/kr/whatson/exhibition/detail,HTTP Error 500: Internal Server Error
youtube.com,12,sitemap,HTTPError,갤러리온화,https://youtube.com/sitemap.xml,HTTP Error 404: Not Found
nodeul.org,9,page,HTTPError,노들갤러리 2관,https://nodeul.org/program/2026-%eb%85%b8%eb%93%a4%ec%84%ac%e3%80%88%ec%95%84%ed%8a%b8-%ec%8a%a4%ed%8e%98%ec%9d%b4%ec%8a%a4_%ec%97%a3%ec%a7%80%e3%80%89/,HTTP Error 404: Not Found
m.smartstore.naver.com,9,homepage,HTTPError,병원안갤러리,http://m.smartstore.naver.com/artvaccine,HTTP Error 429: Too Many Requests
museum.seoul.go.kr,9,homepage,RuntimeError,서울우리소리박물관,https://museum.seoul.go.kr/sekm,HTTP request failed after retries: <urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)>
www.mmca.go.kr,9,homepage,HTTPError,국립현대미술관 고양레지던시,http://www.mmca.go.kr/sitemap.xml,HTTP Error 404: Not Found
